blue,green,red,ndwi,brightness,label,source_file
0.03580737,0.071434945,0.029210579,0.4195313,0.0454843,1,GSL_1987_09.tif
0.030264776,0.07097582,0.039040014,0.2902811,0.0467602,1,GSL_1987_09.tif
0.030350707,0.07495488,0.0345375,0.36913082,0.046614364,1,GSL_1987_09.tif
0.032327138,0.06337479,0.032825276,0.31755897,0.0428424,1,GSL_1987_09.tif
0.032069344,0.06862919,0.034791164,0.32718608,0.045163233,1,GSL_1987_09.tif
0.035076953,0.06934338,0.032888692,0.35658413,0.045769673,1,GSL_1987_09.tif
0.029835118,0.069904536,0.03599606,0.32018852,0.04524524,1,GSL_1987_09.tif
0.028889868,0.07179204,0.03707413,0.31890154,0.045918677,1,GSL_1987_09.tif
0.029276561,0.07867888,0.038025364,0.34834355,0.048660267,1,GSL_1987_09.tif
0.03095223,0.06883325,0.03675705,0.30377692,0.045514178,1,GSL_1987_09.tif
0.030178845,0.069394395,0.039040014,0.27993053,0.046204418,1,GSL_1987_09.tif
0.028632075,0.06459911,0.028513007,0.38755125,0.040581398,1,GSL_1987_09.tif
0.029319528,0.06995555,0.030034984,0.3992395,0.043103352,1,GSL_1987_09.tif
0.030909264,0.07347549,0.038025364,0.31793305,0.047470037,1,GSL_1987_09.tif
0.03043664,0.074852854,0.032888692,0.3894855,0.046059396,1,GSL_1987_09.tif
0.029835118,0.0682721,0.03929368,0.26939934,0.0458003,1,GSL_1987_09.tif
0.7610606,0.67839485,0.638459,0.030326674,0.69263816,0,GSL_2007_04.tif
0.50108933,0.4083865,0.40182653,0.008096586,0.4371008,0,GSL_2007_04.tif
0.38998646,0.30894583,0.31551647,-0.0105220545,0.33814958,0,GSL_2007_04.tif
0.3271483,0.2368391,0.26718712,-0.060211066,0.27705815,0,GSL_2007_04.tif
0.2660339,0.1670347,0.2404086,-0.18008326,0.22449239,0,GSL_2007_04.tif
0.73485196,0.6731044,0.6366454,0.027836615,0.681534,0,GSL_2007_04.tif
0.5229103,0.41926128,0.42129698,-0.0024218485,0.45448956,0,GSL_2007_04.tif
0.3679304,0.2701003,0.29492584,-0.0439369,0.31098554,0,GSL_2007_04.tif
0.38191622,0.26779798,0.29375225,-0.04621889,0.31448883,0,GSL_2007_04.tif
0.3705552,0.2533962,0.28884465,-0.06537384,0.30426535,0,GSL_2007_04.tif
0.4518844,0.3944746,0.44119415,-0.055906717,0.42918435,0,GSL_2007_04.tif
0.44052336,0.33627978,0.35819143,-0.031551514,0.37833154,0,GSL_2007_04.tif
0.40738055,0.2985609,0.3196773,-0.03415572,0.34187293,0,GSL_2007_04.tif
0.36593243,0.25711912,0.28820452,-0.05700348,0.30375203,0,GSL_2007_04.tif
0.34411147,0.24384403,0.27422848,-0.05864892,0.28739464,0,GSL_2007_04.tif
0.3194698,0.23115678,0.3059146,-0.13919507,0.28551373,0,GSL_2007_04.tif
0.37549135,0.29483798,0.32149097,-0.04324468,0.3306068,0,GSL_2007_04.tif
0.38458017,0.27534175,0.30922192,-0.057957955,0.32304797,0,GSL_2007_04.tif
0.38591215,0.27592957,0.3018605,-0.04487944,0.32123408,0,GSL_2007_04.tif
0.38324818,0.27602753,0.306128,-0.051705103,0.32180122,0,GSL_2007_04.tif
0.39731234,0.28175884,0.30634138,-0.041799836,0.32847086,0,GSL_2007_04.tif
0.3310267,0.20107965,0.24270238,-0.09379071,0.25826958,0,GSL_2007_04.tif
0.2957684,0.17639093,0.22419213,-0.11932875,0.23211716,0,GSL_2007_04.tif
0.35602093,0.24712607,0.27460188,-0.052662987,0.29258296,0,GSL_2007_04.tif
0.4068321,0.29287857,0.32138428,-0.046406303,0.34036496,0,GSL_2007_04.tif
0.0054043406,0.01690765,0.005701374,0.49563304,0.0093377875,1,GSL_1985_09.tif
0.004165253,0.020526705,0.008232466,0.4274745,0.010974809,1,GSL_1985_09.tif
0.009973477,0.020352293,0.007922537,0.4395894,0.012749436,1,GSL_1985_09.tif
0.009973477,0.021049943,0.00461662,0.640237,0.011880013,1,GSL_1985_09.tif
0.008966718,0.01961104,0.0045133103,0.62580353,0.011030356,1,GSL_1985_09.tif
0.0030810512,0.014247862,0.002963662,0.6555808,0.0067641917,1,GSL_1985_09.tif
0.007572744,0.020134278,0.009782115,0.3460249,0.012496379,1,GSL_1985_09.tif
0.0075340224,0.02200921,0.0050298595,0.62793297,0.011524364,1,GSL_1985_09.tif
0.0055592265,0.020831926,0.009058946,0.3938522,0.0118167,1,GSL_1985_09.tif
0.0055592265,0.02017788,0.009058946,0.38029277,0.011598684,1,GSL_1985_09.tif
0.0036231522,0.017692504,0.006889438,0.43945375,0.009401699,1,GSL_1985_09.tif
0.006875757,0.02030869,0.0073026773,0.4710213,0.0114957085,1,GSL_1985_09.tif
0.008734388,0.021049943,0.0053914445,0.5921741,0.011725259,1,GSL_1985_09.tif
0.008734388,0.022052813,0.0053914445,0.6070764,0.01205955,1,GSL_1985_09.tif
0.0061013275,0.021137148,0.0061662686,0.5482952,0.011134915,1,GSL_1985_09.tif
0.0049784044,0.01847736,0.014792644,0.11074855,0.01274947,1,GSL_1985_09.tif
0.0066434285,0.02144237,0.006837783,0.516407,0.011641194,1,GSL_1985_09.tif
0.006604707,0.02200921,0.0070444024,0.51505786,0.011886108,1,GSL_1985_09.tif
0.006604707,0.022837669,0.0070444024,0.5285021,0.01216226,1,GSL_1985_09.tif
0.009353933,0.020526705,0.008852325,0.39735764,0.012910988,1,GSL_1985_09.tif
0.0073791365,0.01974185,0.0071477126,0.46834785,0.0114229,1,GSL_1985_09.tif
0.009934755,0.02144237,0.0083874315,0.43763286,0.013254852,1,GSL_1985_09.tif
0.009934755,0.02144237,0.0083874315,0.43763286,0.013254852,1,GSL_1985_09.tif
0.008579503,0.021922003,0.0061662686,0.5609165,0.012222592,1,GSL_1985_09.tif
0.006759593,0.02144237,0.008284122,0.44262895,0.012162029,1,GSL_1985_09.tif
0.015890859,0.08088355,0.010909332,0.76229715,0.03589458,1,GSL_1985_03.tif
0.017036816,0.08057949,0.01053676,0.7687099,0.036051024,1,GSL_1985_03.tif
0.017568866,0.080926985,0.010638371,0.7676249,0.036378074,1,GSL_1985_03.tif
0.018428333,0.08223011,0.011010943,0.7638095,0.03722313,1,GSL_1985_03.tif
0.018673895,0.079884484,0.009994838,0.7775857,0.036184404,1,GSL_1985_03.tif
0.01900131,0.08057949,0.01043515,0.7706845,0.036671985,1,GSL_1985_03.tif
0.018714823,0.08057949,0.01029967,0.7733242,0.036531325,1,GSL_1985_03.tif
0.01957429,0.08123105,0.012128658,0.7401657,0.037644666,1,GSL_1985_03.tif
0.017568866,0.08088355,0.010638371,0.7675146,0.036363594,1,GSL_1985_03.tif
0.018714823,0.08123105,0.011112553,0.7593134,0.037019476,1,GSL_1985_03.tif
0.013639874,0.08057949,0.009960968,0.77995795,0.034726776,1,GSL_1985_03.tif
0.01560437,0.08123105,0.010198059,0.7769103,0.035677824,1,GSL_1985_03.tif
0.017282378,0.08057949,0.01053676,0.7687099,0.036132876,1,GSL_1985_03.tif
0.017568866,0.08123105,0.011112553,0.7593134,0.03663749,1,GSL_1985_03.tif
0.018141843,0.08057949,0.010875462,0.7621595,0.036532264,1,GSL_1985_03.tif
0.015890859,0.07923292,0.010198059,0.771926,0.03510728,1,GSL_1985_03.tif
0.014744903,0.079884484,0.009690006,0.78363484,0.03477313,1,GSL_1985_03.tif
0.0153178815,0.07953698,0.01053676,0.766033,0.03513054,1,GSL_1985_03.tif
0.014171925,0.07923292,0.011146423,0.753333,0.034850426,1,GSL_1985_03.tif
0.015031392,0.07853792,0.009181954,0.7906438,0.03425042,1,GSL_1985_03.tif
0.015358808,0.078581356,0.009825488,0.7777123,0.03458855,1,GSL_1985_03.tif
0.017036816,0.07958042,0.01043515,0.76813936,0.035684127,1,GSL_1985_03.tif
0.015031392,0.076887295,0.010773852,0.7541846,0.034230847,1,GSL_1985_03.tif
0.014499341,0.07719135,0.009927098,0.77209234,0.033872597,1,GSL_1985_03.tif
0.015358808,0.07823386,0.009554526,0.7823193,0.0343824,1,GSL_1985_03.tif
0.19277205,0.40421006,0.39352494,0.013394301,0.330169,1,GSL_1991_06.tif
0.19153267,0.4271009,0.39926878,0.033679947,0.33930078,1,GSL_1991_06.tif
0.19494092,0.39349714,0.32835478,0.09024326,0.30559763,1,GSL_1991_06.tif
0.19122283,0.42636842,0.38667655,0.048818722,0.33475593,1,GSL_1991_06.tif
0.18649775,0.40704852,0.38667655,0.025666252,0.32674095,1,GSL_1991_06.tif
0.19277205,0.4171205,0.39197853,0.031073974,0.33395705,1,GSL_1991_06.tif
0.19331427,0.42545277,0.4094309,0.019190527,0.34273267,1,GSL_1991_06.tif
0.1928495,0.42755872,0.37596214,0.06421304,0.33212346,1,GSL_1991_06.tif
0.18804696,0.43378505,0.4102041,0.027939826,0.34401202,1,GSL_1991_06.tif
0.19230728,0.42343837,0.40644854,0.020472435,0.34073138,1,GSL_1991_06.tif
0.1938565,0.3891021,0.33133712,0.080180116,0.30476522,1,GSL_1991_06.tif
0.19912378,0.42472026,0.40876815,0.019138947,0.34420407,1,GSL_1991_06.tif
0.18967363,0.41501454,0.40567532,0.011379697,0.33678782,1,GSL_1991_06.tif
0.1854133,0.42545277,0.40490213,0.024749191,0.33858943,1,GSL_1991_06.tif
0.18858919,0.42481184,0.40909952,0.018841693,0.34083351,1,GSL_1991_06.tif
